S04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-03-01-Li\ME_EXBO\2.9FFO_Jet     1.45e-07   2556.2   3.58e-06
020-03-01-Li\ME_EXBX\14.5DFX_Jet    8.30e-10   2493.2   3.58e-06
020-03-01-Li\ME_EXBX\14.5DFO_Jet    6.60e-11   2493.2   3.58e-06
020-03-01-Li\ME_EXBX\7.7DFX_Jet     8.88e-09   2493.2   3.59e-06
020-03-01-Li\ME_EXBX\7.7DFO_Jet     7.07e-10   2493.2   3.59e-06
020-03-01-Li\ME_EXBX\2.9FFX_Jet     9.16e-09   2493.2   3.60e-06
020-03-01-Li\ME_EXBX\2.9FFO_Jet     7.29e-10   2493.2   3.60e-06
020-03-03-Lo\ME_EOBN\14.5DFO_Jet    6.97e-08   2384.9   3.67e-06
020-03-03-Lo\ME_EOBN\7.7DFO_Jet     7.47e-07   2384.9   4.42e-06
020-03-03-Lo\ME_EOBN\2.9FFO_Jet     7.70e-07   2384.9   5.19e-06
020-04-01-L\LM_EOBN\14.5DFO_Jet     6.52e-07   1901.5   5.84e-06
020-04-01-L\LM_EOBN\7.7DFO_Jet      6.98e-06   1901.5   1.28e-05
020-04-01-L\LM_EOBN\2.9FFO_Jet      7.21e-06   1901.5   2.00e-05
020-03-03-Lo\LM_EOBN\14.5DFO_Jet    4.54e-08   1137.8   2.01e-05
020-03-03-Lo\LM_EOBN\7.7DFO_Jet     4.86e-07   1137.8   2.06e-05
020-03-03-Lo\LM_EOBN\2.9FFO_Jet     5.01e-07   1137.8   2.11e-05
020-03-01-Li\LM_EXBO\14.5DFO_Jet    6.65e-08   1028.2   2.11e-05
020-03-01-Li\LM_EXBO\7.7DFO_Jet     7.12e-07   1028.2   2.18e-05
020-03-01-Li\LM_EXBO\2.9FFO_Jet     7.35e-07   1028.2   2.26e-05
020-03-01-Li\LM_EXBX\14.5DFX_Jet    4.20e-09   1019.6   2.26e-05
020-03-01-Li\LM_EXBX\14.5DFO_Jet    3.34e-10   1019.6   2.26e-05
020-03-01-Li\LM_EXBX\7.7DFX_Jet     4.50e-08   1019.6   2.26e-05
020-03-01-Li\LM_EXBX\7.7DFO_Jet     3.58e-09   1019.6   2.26e-05
020-03-01-Li\LM_EXBX\2.9FFX_Jet     4.64e-08   1019.6   2.27e-05
020-03-01-Li\LM_EXBX\2.9FFO_Jet     3.69e-09   1019.6   2.27e-05
020-03-02-G\ME_EXBX\14.5DFX_Jet     4.74e-10    792.2   2.27e-05
020-03-02-G\ME_EXBX\14.5DFO_Jet     4.50e-13    792.2   2.27e-05
020-03-02-G\ME_EXBX\7.7DFX_Jet      5.07e-09    761.2   2.27e-05
020-03-02-G\ME_EXBX\7.7DFO_Jet      4.82e-12    761.2   2.27e-05
020-03-01-Li\ME_EOBO\14.5DFO_Jet    1.51e-07    710.3   2.28e-05
020-03-01-Li\ME_EOBO\7.7DFO_Jet     1.62e-06    710.3   2.45e-05
020-03-01-Li\ME_EOBO\2.9FFO_Jet     1.67e-06    710.3   2.61e-05
020-03-01-Li\ME_EOBX\14.5DFO_Jet    7.59e-10    696.2   2.61e-05
020-03-01-Li\ME_EOBX\7.7DFO_Jet     8.13e-09    696.2   2.61e-05
020-03-01-Li\ME_EOBX\2.9FFO_Jet     8.39e-09    696.2   2.61e-05
020-03-02-G\ME_EXBX\2.9FFX_Jet      5.23e-09    540.7   2.61e-05
020-03-02-G\ME_EXBX\2.9FFO_Jet      4.97e-12    540.7   2.61e-05
020-03-02-G\LM_EXBX\14.5DFX_Jet     2.75e-10    531.9   2.61e-05
020-03-02-G\LM_EXBX\14.5DFO_Jet     2.61e-13    531.9   2.61e-05
020-03-02-G\LM_EXBX\7.7DFX_Jet      2.94e-09    514.9   2.62e-05
020-03-02-G\LM_EXBX\7.7DFO_Jet      2.79e-12    514.9   2.62e-05
020-03-02-G\ME_EXBO\14.5DFO_Jet     8.95e-11    491.3   2.62e-05
020-03-02-G\ME_EXBO\7.7DFO_Jet      9.58e-10    474.9   2.62e-05
020-03-02-G\LM_EXBX\2.9FFX_Jet      3.03e-09    463.9   2.62e-05
020-03-02-G\LM_EXBX\2.9FFO_Jet      2.88e-12    463.9   2.62e-05
020-03-02-G\LM_EXBO\14.5DFO_Jet     5.19e-11    447.0   2.62e-05
020-03-02-G\LM_EXBO\7.7DFO_Jet      5.56e-10    433.8   2.62e-05
020-03-02-G\LM_EXBO\2.9FFO_Jet      5.73e-10    394.3   2.62e-05
020-03-02-G\ME_EXBO\2.9FFO_Jet      9.89e-10    358.2   2.62e-05
020-03-01-Li\LM_EOBO\14.5DFO_Jet    7.65e-07    345.8   2.69e-05
020-03-01-Li\LM_EOBO\7.7DFO_Jet     8.19e-06    345.8   3.51e-05
020-03-01-Li\LM_EOBO\2.9FFO_Jet     8.45e-06    345.8   4.36e-05
020-03-01-Li\LM_EOBX\14.5DFO_Jet    3.84e-09    344.1   4.36e-05
020-03-01-Li\LM_EOBX\7.7DFO_Jet     4.12e-08    344.1   4.36e-05
020-03-01-Li\LM_EOBX\2.9FFO_Jet     4.25e-08    344.1   4.37e-05
020-03-02-G\ME_EOBX\14.5DFO_Jet     4.45e-11    327.7   4.37e-05
020-03-02-G\ME_EOBX\7.7DFO_Jet      4.77e-10    318.4   4.37e-05
020-03-02-G\ME_EOBX\2.9FFO_Jet      4.92e-10    252.6   4.37e-05
020-04-02-G\MA_EXBN\14.5DFX_Jet     3.40e-11    250.1   4.37e-05
020-04-02-G\MA_EXBN\14.5DFO_Jet     6.47e-12    250.1   4.37e-05
020-03-02-G\LM_EOBX\14.5DFO_Jet     2.58e-11    249.9   4.37e-05
020-04-02-G\MA_EXBN\7.7DFX_Jet      3.64e-10    247.4   4.37e-05
020-04-02-G\MA_EXBN\7.7DFO_Jet      6.92e-11    247.4   4.37e-05
020-03-02-G\ME_EOBO\14.5DFO_Jet     8.86e-09    245.4   4.37e-05
020-03-02-G\LM_EOBX\7.7DFO_Jet      2.76e-10    244.9   4.37e-05
020-03-02-G\ME_EOBO\7.7DFO_Jet      9.49e-08    240.5   4.38e-05
020-04-02-G\LM_EXBN\14.5DFX_Jet     6.23e-11    235.8   4.38e-05
020-04-02-G\LM_EXBN\14.5DFO_Jet     1.18e-11    235.8   4.38e-05
020-04-02-G\MA_EXBN\2.9FFX_Jet      3.76e-10    233.8   4.38e-05
020-04-02-G\MA_EXBN\2.9FFO_Jet      7.14e-11    233.8   4.38e-05
020-04-02-G\LM_EXBN\7.7DFX_Jet      6.67e-10    233.2   4.38e-05
020-04-02-G\LM_EXBN\7.7DFO_Jet      1.27e-10    233.2   4.38e-05
020-03-02-G\LM_EOBX\2.9FFO_Jet      2.85e-10    229.7   4.38e-05
020-03-02-G\LM_EOBO\14.5DFO_Jet     5.14e-09    228.3   4.38e-05
020-03-02-G\LM_EOBO\7.7DFO_Jet      5.50e-08    224.3   4.38e-05
020-04-02-G\LM_EXBN\2.9FFX_Jet      6.88e-10    223.3   4.38e-05
020-04-02-G\LM_EXBN\2.9FFO_Jet      1.31e-10    223.3   4.38e-05
020-03-02-G\LM_EOBO\2.9FFO_Jet      5.68e-08    212.5   4.39e-05
020-03-02-G\ME_EOBO\2.9FFO_Jet      9.79e-08    205.7   4.40e-05
020-04-02-G\MA_EOBN\14.5DFO_Jet     6.40e-10    158.5   4.40e-05
020-04-02-G\MA_EOBN\7.7DFO_Jet      6.85e-09    157.8   4.40e-05
020-04-02-G\LM_EOBN\14.5DFO_Jet     1.17e-09    155.4   4.40e-05
020-04-02-G\MA_EOBN\2.9FFO_Jet      7.07e-09    155.0   4.40e-05
020-04-02-G\LM_EOBN\7.7DFO_Jet      1.25e-08    154.9   4.40e-05
020-04-02-G\LM_EOBN\2.9FFO_Jet      1.29e-08    152.8   4.40e-05
020-04-02-G\ME_EXBN\14.5DFX_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EXBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EXBN\7.7DFX_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EXBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EXBN\2.9FFX_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EXBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EOBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EOBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\ME_EOBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-02-G\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-04-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EOBN\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EOBN\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-03-Lo\SM_EOBN\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   4.40e-05
020-03-02-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\14.5DFX_Jet    0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\7.7DFX_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\2.9FFX_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBX\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBO\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBO\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EXBO\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBX\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBX\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBX\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBO\14.5DFO_Jet    0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBO\7.7DFO_Jet     0.00e+00      0.0   4.40e-05
020-03-01-Li\SM_EOBO\2.9FFO_Jet     0.00e+00      0.0   4.40e-05
